workers,corrida,tiempo_segundos
90,10,16.9021
90,11,15.2498
90,12,15.3822
90,13,15.4242
90,14,15.3244
90,15,16.5319
90,16,15.3323
90,17,15.3757
90,18,15.2384
90,19,15.3386
90,20,16.8302
90,21,15.3982
90,22,15.1728
90,23,15.2861
90,24,16.4813
90,25,16.7922
90,26,15.1698
90,27,15.4018
90,28,15.2280
90,29,15.3681
90,30,15.1931
90,31,15.2413
90,32,15.1577
90,33,15.3586
90,34,16.5153
90,35,15.1121
90,36,16.3994
90,37,15.3552
90,38,15.3448
90,39,16.7516
90,40,16.7007
90,41,15.3581
90,42,15.4326
90,43,15.3782
90,44,15.2874
90,45,15.1794
90,46,16.8024
90,47,15.3978
90,48,16.9393
90,49,15.1795
90,50,17.1267
90,51,15.3921
90,52,16.8163
90,53,15.4251
90,54,15.3326
90,55,15.3354
90,56,15.1704
90,57,15.3287
90,58,16.7029
90,59,15.1326
90,60,15.1775
90,61,16.4057
90,62,15.0626
90,63,15.3125
90,64,15.2905
90,65,15.2254
90,66,16.5525
90,67,15.3890
90,68,15.2225
90,69,15.3375
90,70,15.2530
90,71,15.4635
90,72,15.3531
90,73,16.3273
90,74,15.2970
90,75,17.0509
90,76,15.3899
90,77,16.5193
90,78,16.5318
90,79,15.2678
90,80,15.3612
90,81,15.1732
90,82,15.3714
90,83,15.2710
90,84,15.3638
90,85,15.1835
90,86,15.4021
90,87,15.2417
90,88,16.7537
90,89,16.5977
90,90,16.5644
90,91,15.2343
90,92,15.3763
90,93,15.4502
90,94,15.2219
90,95,15.3501
90,96,15.2874
90,97,15.2711
90,98,15.1749
90,99,15.6983
90,100,15.1612
105,1,13.1610
105,2,13.4165
105,3,13.0616
105,4,14.0563
105,5,13.1907
105,6,13.0883
105,7,12.9565
105,8,13.0439
105,9,13.0220
105,10,13.2439
105,11,13.4441
105,12,13.4230
105,13,13.6598
105,14,13.2519
105,15,13.4469
105,16,13.3464
105,17,13.2349
105,18,13.5422
105,19,13.2152
105,20,13.3687
105,21,13.4400
105,22,13.4156
105,23,13.3669
105,24,13.3102
105,25,13.6746
105,26,13.5975
105,27,13.4437
105,28,14.5552
105,29,14.0023
105,30,14.2157
105,31,13.9989
105,32,14.1933
105,33,13.9538
105,34,13.4118
105,35,13.7701
105,36,14.0563
105,37,14.1294
105,38,13.9537
105,39,14.0934
105,40,14.2671
105,41,13.9741
105,42,14.3248
105,43,14.2256
105,44,14.2459
105,45,14.3358
105,46,13.9475
105,47,14.3155
105,48,14.1206
105,49,14.2270
105,50,14.1883
105,51,14.2907
105,52,14.2035
105,53,14.0586
105,54,14.2362
105,55,13.9334
105,56,14.1999
